Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2713387,8904320,HV578331,09/29/2012 12:00:00 PM,032XX S MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,211,2.0,3.0,35.0,11,1177727.0,1883504.0,2012,02/04/2016 06:33:39 AM,41.835659225,-87.623356707,"(41.835659225, -87.623356707)"
2685586,8861212,HV534940,10/25/2012 10:45:00 PM,010XX W ADDISON ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,True,False,1924,19.0,44.0,6.0,08B,1168180.0,1924067.0,2012,02/04/2016 06:33:39 AM,41.9471781,-87.657214823,"(41.9471781, -87.657214823)"
2518067,8599707,HV273799,05/06/2012 10:40:00 AM,058XX W NEWPORT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,True,False,1633,16.0,38.0,15.0,14,1136873.0,1922345.0,2012,02/04/2016 06:33:39 AM,41.943072761,-87.772333516,"(41.943072761, -87.772333516)"
3147828,9624730,HX274855,05/24/2014 04:00:00 PM,052XX S RUTHERFORD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,True,811,8.0,23.0,56.0,08B,1132271.0,1869045.0,2014,02/04/2016 06:33:39 AM,41.79689113,-87.790487334,"(41.79689113, -87.790487334)"
2791963,9032387,HW180123,03/04/2013 11:00:00 PM,047XX N ROCKWELL ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,False,1911,19.0,47.0,4.0,07,1158183.0,1931355.0,2013,02/04/2016 06:33:39 AM,41.967387306,-87.693761141,"(41.967387306, -87.693761141)"
2907873,9218524,HW365079,07/12/2013 01:00:00 PM,092XX S FOREST AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,False,False,633,6.0,6.0,49.0,05,1179879.0,1843688.0,2013,02/04/2016 06:33:39 AM,41.726351143,-87.61667801,"(41.726351143, -87.61667801)"
3234005,9767501,HX418091,09/06/2014 03:49:00 PM,047XX W 50TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,True,False,815,8.0,23.0,56.0,18,1145440.0,1871052.0,2014,02/04/2016 06:33:39 AM,41.802160299,-87.742143655,"(41.802160299, -87.742143655)"
840506,9919121,HY107948,01/08/2015 01:49:00 PM,018XX W 21ST ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,True,False,1234,12.0,25.0,31.0,18,1164431.0,1890105.0,2015,08/17/2015 03:03:40 PM,41.854064234,-87.671957479,"(41.854064234, -87.671957479)"
3324470,10007179,HY196926,03/11/2015 06:42:00 PM,007XX N WABASH AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,OTHER,False,False,1833,18.0,42.0,8.0,11,1176598.0,1905516.0,2015,08/17/2015 03:03:40 PM,41.89608709,-87.626834633,"(41.89608709, -87.626834633)"
3132293,9597636,HX248517,05/04/2014 07:10:00 PM,046XX W DIVERSEY AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,2521,25.0,31.0,20.0,06,1144951.0,1918212.0,2014,02/04/2016 06:33:39 AM,41.931582515,-87.742747165,"(41.931582515, -87.742747165)"
3423105,10178674,HY366965,07/08/2015 02:00:00 PM,003XX W CHICAGO AVE,0610,BURGLARY,FORCIBLE ENTRY,WAREHOUSE,False,False,1823,18.0,27.0,8.0,05,1173601.0,1905657.0,2015,08/17/2015 03:03:40 PM,41.896541195,-87.637837697,"(41.896541195, -87.637837697)"
4033995,10407018,HZ144028,02/07/2016 07:30:00 PM,072XX S OAKLEY AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,False,False,832,8.0,18.0,66.0,06,1162327.0,1856508.0,2016,02/14/2016 03:45:53 PM,41.761914188,-87.680616507,"(41.761914188, -87.680616507)"
3388893,10119299,HY307677,06/19/2015 01:40:00 PM,101XX S PRAIRIE AVE,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",True,False,511,5.0,9.0,49.0,08B,1179704.0,1837843.0,2015,08/17/2015 03:03:40 PM,41.710315707,-87.617497067,"(41.710315707, -87.617497067)"
4059971,10463649,HZ203072,03/22/2016 05:00:00 AM,065XX S KENWOOD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,True,False,321,3.0,20.0,42.0,07,1186193.0,1861927.0,2016,04/26/2016 03:51:53 PM,41.776254174,-87.592974615,"(41.776254174, -87.592974615)"
6066072,10556617,HZ303519,06/11/2016 08:25:00 PM,015XX S LAFLIN ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False,1233,12.0,2.0,28.0,24,1166629.0,1892322.0,2016,06/18/2016 03:54:19 PM,41.860101139,-87.663826535,"(41.860101139, -87.663826535)"
3373862,10092694,HY281180,05/30/2015 12:26:00 PM,083XX S HOLLAND RD,0810,THEFT,OVER $500,DEPARTMENT STORE,False,True,622,6.0,21.0,44.0,06,1175640.0,1849717.0,2015,08/17/2015 03:03:40 PM,41.742991296,-87.632025815,"(41.742991296, -87.632025815)"
2993288,9356579,HW500329,10/20/2013 12:50:00 PM,109XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,False,False,513,5.0,9.0,49.0,08B,1180854.0,1832453.0,2013,02/04/2016 06:33:39 AM,41.695498515,-87.613450593,"(41.695498515, -87.613450593)"
3306177,9892251,HX542810,12/15/2014 03:30:00 AM,068XX N WOLCOTT AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,2424,24.0,49.0,1.0,06,1162378.0,1945299.0,2014,02/04/2016 06:33:39 AM,42.005563165,-87.677944256,"(42.005563165, -87.677944256)"
2602501,8729034,HV405308,07/29/2012 02:40:00 AM,102XX S HOXIE AVE,0479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,STREET,False,False,431,4.0,10.0,51.0,04B,1195162.0,1837545.0,2012,02/04/2016 06:33:39 AM,41.709131384,-87.560897813,"(41.709131384, -87.560897813)"
2739318,8947639,HV619401,12/27/2012 09:00:00 PM,070XX S PAXTON AVE,031A,ROBBERY,ARMED: HANDGUN,OTHER,True,False,331,3.0,5.0,43.0,03,1192093.0,1858850.0,2012,02/04/2016 06:33:39 AM,41.767669236,-87.571445917,"(41.767669236, -87.571445917)"
3000921,9369267,HW512594,10/29/2013 10:30:00 PM,044XX W MAYPOLE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,True,True,1113,11.0,28.0,26.0,08B,1146866.0,1901089.0,2013,02/04/2016 06:33:39 AM,41.884558827,-87.736147875,"(41.884558827, -87.736147875)"
2457493,8501381,HV178465,02/29/2012 04:30:00 PM,016XX N LINDER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2532,25.0,37.0,25.0,07,1139486.0,1910370.0,2012,02/04/2016 06:33:39 AM,41.910164748,-87.763022056,"(41.910164748, -87.763022056)"
6069889,10562610,HZ309666,06/16/2016 07:25:00 AM,024XX W AUGUSTA BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1212,12.0,1.0,24.0,08B,1159997.0,1906581.0,2016,06/23/2016 03:48:09 PM,41.899368474,-87.687777149,"(41.899368474, -87.687777149)"
6188486,10749633,HZ511462,11/11/2016 12:00:00 PM,032XX N BROADWAY,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESIDENCE,False,False,1925,19.0,44.0,6.0,05,1171671.0,1922004.0,2016,11/18/2016 03:49:39 PM,41.94144087,-87.644443893,"(41.94144087, -87.644443893)"
2961620,9305169,HW449670,09/13/2013 12:36:00 AM,022XX N KIMBALL AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,SIDEWALK,True,True,1413,14.0,26.0,22.0,26,1153340.0,1914643.0,2013,02/04/2016 06:33:39 AM,41.921626179,-87.712013812,"(41.921626179, -87.712013812)"
2868942,9157494,HW294398,05/28/2013 05:17:00 PM,065XX S WOLCOTT AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,True,False,726,7.0,15.0,67.0,24,1164809.0,1861365.0,2013,02/04/2016 06:33:39 AM,41.775190415,-87.671382653,"(41.775190415, -87.671382653)"
3241783,9781534,HX431414,09/16/2014 11:25:00 PM,009XX N HONORE ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1212,12.0,32.0,24.0,06,1163897.0,1906310.0,2014,02/04/2016 06:33:39 AM,41.898543408,-87.673460181,"(41.898543408, -87.673460181)"
2954998,9294088,HW439165,09/05/2013 02:30:00 PM,121XX S HALSTED ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,524,5.0,34.0,53.0,14,1173186.0,1824354.0,2013,02/04/2016 06:33:39 AM,41.673446008,-87.641763673,"(41.673446008, -87.641763673)"
2700162,8883608,HV556924,11/10/2012 07:40:00 PM,002XX N CENTRAL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1512,15.0,29.0,25.0,07,1139003.0,1901091.0,2012,02/04/2016 06:33:39 AM,41.884710837,-87.765022234,"(41.884710837, -87.765022234)"
3087156,9516699,HX172170,03/04/2014 02:00:00 PM,021XX S ARCHER AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,914,9.0,25.0,34.0,06,1175005.0,1890045.0,2014,02/04/2016 06:33:39 AM,41.85366954,-87.633148865,"(41.85366954, -87.633148865)"
3112554,9564002,HX215278,04/07/2014 03:30:00 PM,029XX N KENNETH AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,2523,25.0,31.0,20.0,05,1146209.0,1919089.0,2014,02/04/2016 06:33:39 AM,41.933965212,-87.738101802,"(41.933965212, -87.738101802)"
859495,9954958,HY143700,02/07/2015 09:57:00 PM,017XX W 21ST ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,True,False,1234,12.0,25.0,31.0,24,1164996.0,1890119.0,2015,08/17/2015 03:03:40 PM,41.85409069,-87.669883316,"(41.85409069, -87.669883316)"
4063401,10132803,HY313496,06/23/2015 08:00:00 PM,028XX W FARRAGUT AVE,2091,NARCOTICS,FORFEIT PROPERTY,APARTMENT,True,False,2011,20.0,40.0,4.0,18,1156438.0,1934745.0,2015,04/15/2016 03:49:27 PM,41.976725214,-87.700085196,"(41.976725214, -87.700085196)"
3193489,9701135,HX351294,07/19/2014 08:30:00 AM,057XX W ADDISON ST,1570,SEX OFFENSE,PUBLIC INDECENCY,SIDEWALK,True,False,1633,16.0,38.0,15.0,17,1137555.0,1923359.0,2014,02/04/2016 06:33:39 AM,41.945843005,-87.769802288,"(41.945843005, -87.769802288)"
2736349,8942807,HV614918,12/24/2012 03:00:00 AM,060XX N BROADWAY,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,LIBRARY,False,False,2433,24.0,48.0,77.0,14,1167215.0,1940081.0,2012,02/04/2016 06:33:39 AM,41.991141887,-87.660299473,"(41.991141887, -87.660299473)"
2596195,8718744,HV395739,07/22/2012 09:45:00 PM,017XX W 81ST ST,0497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,SIDEWALK,True,True,611,6.0,21.0,71.0,04B,1166290.0,1850986.0,2012,02/04/2016 06:33:39 AM,41.746677612,-87.666248539,"(41.746677612, -87.666248539)"
2943108,9276186,HW420085,08/23/2013 09:30:00 AM,013XX S KOSTNER AVE,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),False,False,1011,10.0,24.0,29.0,06,1147263.0,1893407.0,2013,02/04/2016 06:33:39 AM,41.863470917,-87.734886704,"(41.863470917, -87.734886704)"
